id,prompt,category,model
1,"What is machine learning?","education","gemini"
2,"Explain recursion in simple terms","education","gpt-5"
3,"Write a Python function to reverse a string","coding","gpt-5"
4,"Explain binary search with an example","education","gemini"
5,"Generate a professional leave email","writing","claude"
6,"What is the difference between TCP and UDP?","networking","gemini"
7,"Write a C++ program to sort an array","coding","gpt-5"
8,"Explain overfitting and underfitting","machine_learning","claude"
9,"Give me three healthy breakfast ideas","lifestyle","gemini"
10,"Explain SQL joins with examples","database","gpt-5"
11,"Write a Python program to calculate factorial","coding","claude"
12,"Explain Docker containers simply","devops","gemini"
13,"Make this sentence more professional","writing","gpt-5"
14,"Explain gradient descent intuitively","machine_learning","claude"
15,"What is an API?","backend","gemini"
16,"Explain polymorphism in C++","coding","gpt-5"
17,"Give me a project idea for learning FastAPI","backend","claude"
18,"Explain neural networks to a beginner","machine_learning","gemini"
19,"Write a SQL query to find duplicate records","database","gpt-5"
20,"Explain Git branches to a beginner","devops","claude"
21,"Write a function to check whether a number is prime","coding","gpt-5"
22,"Explain embeddings in AI","machine_learning","gemini"
23,"Generate a funny programming meme caption","writing","claude"
24,"Explain REST APIs with an example","backend","gpt-5"
25,"Write a Python script to read a CSV file","coding","gemini"
26,"Explain database normalization","database","claude"
27,"Give me software engineering interview questions","career","gpt-5"
28,"Explain recursion using a simple example","education","gemini"
29,"Write a program to find the largest element","coding","gpt-5"
30,"Explain Kubernetes in simple terms","devops","claude"
31,"Explain Pandas DataFrames","data_science","gemini"
32,"Write a function to calculate Fibonacci numbers","coding","gpt-5"
33,"How does JWT authentication work?","backend","claude"
34,"Explain vector embeddings","machine_learning","gemini"
35,"Give me Python practice problems","coding","gpt-5"
36,"Explain gradient descent","machine_learning","claude"
36,"Explain gradient descent again","machine_learning","gemini"
37,"What is a database index?","database","gpt-5"
38,"Write a professional LinkedIn summary","writing","claude"
39,"Explain HTTP status codes","networking","gemini"
40,"Give me a beginner Python project idea","coding","gpt-5"
41,"","education","gemini"
42,"Explain APIs","backend",""
43,"Write a Python loop","coding","unknown_model"
44,"Explain SQL","unknown_category","gpt-5"
